ItemCode,Commodity,
15, # 2511 WHEAT & PRODUCTS,
27, # 2805 RICE & PROD (MILLED EQ.),
44, # 2513 BARLEY & PRODUCTS,
56, # 2514 MAIZE & PRODUCTS,
71, # 2515 RYE & PRODUCTS,
75, # 2516 OATS & PRODUCTS,
79, # 2517 MILLET & PRODUCTS,
83, # 2518 SORGHUM & PRODUCTS,
89, # 2520 CEREALS,OTHERS &PRODUCTS
116, # 2531 POTATOES & PRODUCTS,
122, # 2533 SWEET POTATOES,
125, # 2532 CASSAVA & PRODUCTS,
135, # 2534 ROOTS&TUBERS,OTH & PROD.
137, # 2535 YAMS,
156, # 2536 SUGAR CANE,
157, # 2537 SUGAR BEETS,
161, # 2543 SWEETENERS, OTHER & PROD
176, # 2546 BEANS, DRY & PRODUCTS
181, # 2549 PULSES, OTHER & PROD
187, # 2547 PEAS, DRY & PRODUCTS
216, # 2551 NUTS & PRODUCTS,
236, # 2555 SOYABEANS & PRODUCTS,
242, # 2556 GROUNDNUTS (SHELLED EQ.),
267, # 2557 SUNFLOWERSEED,
270, # 2558 RAPE, MUSTARD SEEDS
329, # 2559 COTTONSEED,
249, # 2560 COCONUTS & COPRA,
289, # 2561 SESAMESEED,
254, # 2562 PALMKERNELS,
260, # 2563 OLIVES,
263, # 2570 OILCROPS, OTHERS
257, # 2577 PALM, OIL
306, # 2586 OILCROPS, OTHER OIL
388, # 2601 TOMATOES & PRODUCTS,
403, # 2602 ONIONS, DRY
358, # 2605 VEGETABLES, OTHER & PROD
490, # 2611 ORANGES,TANG-MAND &PROD.
497, # 2612 LEMONS, LIMES & PROD.
507, # 2613 GRAPEFRUIT & PRODUCTS,
512, # 2614 CITRUS FRUIT NES & PROD.,
486, # 2615 BANANA,
489, # 2616 PLANTAINS,
515, # 2617 APPLES & PRODUCTS,
574, # 2618 PINEAPPLES & PRODUCTS,
577, # 2619 DATES,
560, # 2620 GRAPES & PROD(EXCL.WINE),
521, # 2625 FRUIT, OTHER & PRODUCTS
656, # 2630 COFFEE & PRODUCTS,
661, # 2633 COCOA BEANS & PRODUCTS,
667, # 2635 TEA,
687, # 2640 PEPPER,
689, # 2641 PIMENTO,
698, # 2642 CLOVES,
692, # 2645 SPICES, OTHER
564, # 2655 WINE,
767, # 2661 COTTON, LINT
780, # 2662 JUTE,
782, # 2663 FIBRES,JUTE-LIKE
773, # 2664 FIBRES, SOFT OTHERS
789, # 2665 SISAL,
809, # 2666 ABACA,
800, # 2667 FIBRES, HARD OTHERS
826, # 2671 TOBACCO & PRODUCTS,
836, # 2672 NATURAL RUBBER (DRY EQ.),
867, # 2731 MEAT & PRODUCTS, BOVINE
977, # 2732 MEAT & PROD, SHEEP&GOAT
1035, # 2733 MEAT & PRODUCTS, PIG
1058, # 2734 MEAT & PRODUCTS, POULTRY
1089, # 2735 MEAT & PROD, OTHER ANIM
1062, # 2744 EGGS & PRODUCTS,
1182, # 2745 HONEY,
987, # 2746 WOOL (CLEAN EQUIVALENT,
1185, # 2747 SILK,
882, # 2848 MILK & PROD (EXCL BUTTER,
836,# 2672 NATURAL RUBBER (DRY EQ.),
,# $prices missing for:,
,"# 2541 SUGAR, NON-CENTRIFUGAL",
,# 2542 SUGAR & PROD. (RAW EQ.),
,"# 2571 SOYABEAN, OIL",
,"# 2572 GROUNDNUT, OIL 2",
,"# 2573 SUNFLOWERSEED, OIL",
,"# 2574 RAPE & MUSTARD, OIL",
,"# 2575 COTTONSEED, OIL",
,"# 2576 PALM KERNEL, OIL",
,"# 2578 COPRA, OIL",
,"# 2579 SESAMESEED, OIL",
,"# 2580 OLIVE & RESIDUE, OIL",
,"# 2581 RICE, BRAN OIL",
,"# 2582 MAIZE, GERM OIL",
,"# 2590 SOYABEAN, CAKE",
,"# 2591 GROUNDNUT, CAKE",
,"# 2592 SUNFLOWERSEED, CAKE",
,"# 2593 RAPE & MUSTARD, CAKE",
,"# 2594 COTTONSEED, CAKE",
,"# 2595 PALMKERNEL, CAKE",
,"# 2596 COPRA, CAKE",
,"# 2597 SESAMESEED, CAKE",
,"# 2598 OILSEEDS, OTHERS, CAKE",
,"# 2656 BARLEY, BEER",
,"# 2657 BEVERAGES, FERMENTED",
,"# 2658 BEVERAGES, ALCOHOLIC",
,"# 2659 ALCOHOL, NON-FOOD",
,# 2680 INFANT FOOD,
,# 2701 CATTLE,
,# 2702 BUFFALOES,
,# 2703 SHEEP,
,# 2704 GOATS,
,# 2705 PIGS,
,# 2706 POULTRY,
,"# 2736 OFFALS, EDIBLE",
,"# 2737 FATS, ANIMALS, RAW",
,"# 2740 BUTTER ,GHEE",
,# 2743 CREAM,
,# 2748 HIDES & SKINS,
,# 2749 MEAT & BLOOD MEAL,
,# NO FISH: 2761:2782,
,# 2855 FISH MEAL,
